# Per-epoch training curves for the four 250-epoch matched-budget arms.
# Source: SLURM stdout on the DoC NFS home, ~/msc_thesis/RoPART/in100-*-e250_<job>.out
# All ViT-B/32 @ 224, IN-100, P=32, bf16, variance balancing, 250 epochs, cosine to min_lr.
arm,job,epoch,lr,train_loss
rot_unsup,269807,56,4.49e-04,0.2224
rot_unsup,269807,57,4.48e-04,0.2199
rot_unsup,269807,58,4.46e-04,0.2186
rot_unsup,269807,59,4.44e-04,0.2152
rot_unsup,269807,60,4.42e-04,0.2137
rot_unsup,269807,61,4.40e-04,0.2109
rot_unsup,269807,62,4.37e-04,0.2111
rot_unsup,269807,63,4.35e-04,0.2076
rot_unsup,269807,64,4.33e-04,0.2084
rot_unsup,269807,65,4.31e-04,0.2050
rot_unsup,269807,66,4.29e-04,0.2054
rot_unsup,269807,67,4.27e-04,0.2026
rot_unsup,269807,68,4.24e-04,0.1997
rot_unsup,269807,69,4.22e-04,0.1998
rot_unsup,269807,70,4.20e-04,0.1973
rot_unsup,269807,71,4.17e-04,0.1951
rot_unsup,269807,72,4.15e-04,0.1944
rot_unsup,269807,73,4.13e-04,0.1946
rot_unsup,269807,74,4.10e-04,0.1923
rot_unsup,269807,75,4.08e-04,0.1893
rot_unsup,269807,76,4.05e-04,0.1888
rot_unsup,269807,77,4.03e-04,0.1886
rot_unsup,269807,78,4.00e-04,0.1856
rot_unsup,269807,79,3.98e-04,0.1835
rot_unsup,269807,80,3.95e-04,0.1831
rot_unsup,269807,81,3.93e-04,0.1832
rot_unsup,269807,82,3.90e-04,0.1805
rot_unsup,269807,83,3.87e-04,0.1795
rot_unsup,269807,84,3.85e-04,0.1771
rot_unsup,269807,85,3.82e-04,0.1770
rot_unsup,269807,86,3.79e-04,0.1751
rot_unsup,269807,87,3.77e-04,0.1750
rot_unsup,269807,88,3.74e-04,0.1737
rot_unsup,269807,89,3.71e-04,0.1700
rot_unsup,269807,90,3.68e-04,0.1731
rot_unsup,269807,91,3.66e-04,0.1702
rot_unsup,269807,92,3.63e-04,0.1696
rot_unsup,269807,93,3.60e-04,0.1679
rot_unsup,269807,94,3.57e-04,0.1655
rot_unsup,269807,95,3.54e-04,0.1657
rot_unsup,269807,96,3.51e-04,0.1638
rot_unsup,269807,97,3.48e-04,0.1636
rot_unsup,269807,98,3.45e-04,0.1624
rot_unsup,269807,99,3.43e-04,0.1596
rot_unsup,269807,100,3.40e-04,0.1604
rot_unsup,269807,101,3.37e-04,0.1589
rot_unsup,269807,102,3.34e-04,0.1581
rot_unsup,269807,103,3.31e-04,0.1578
rot_unsup,269807,104,3.28e-04,0.1552
rot_unsup,269807,105,3.25e-04,0.1541
rot_unsup,269807,106,3.22e-04,0.1522
rot_unsup,269807,107,3.19e-04,0.1527
rot_unsup,269807,108,3.16e-04,0.1530
rot_unsup,269807,109,3.13e-04,0.1499
rot_unsup,269807,110,3.10e-04,0.1491
rot_unsup,269807,111,3.06e-04,0.1480
rot_unsup,269807,112,3.03e-04,0.1464
rot_unsup,269807,113,3.00e-04,0.1455
rot_unsup,269807,114,2.97e-04,0.1464
rot_unsup,269807,115,2.94e-04,0.1433
rot_unsup,269807,116,2.91e-04,0.1433
rot_unsup,269807,117,2.88e-04,0.1423
rot_unsup,269807,118,2.85e-04,0.1414
rot_unsup,269807,119,2.82e-04,0.1406
rot_unsup,269807,120,2.79e-04,0.1393
rot_unsup,269807,121,2.75e-04,0.1372
rot_unsup,269807,122,2.72e-04,0.1369
rot_unsup,269807,123,2.69e-04,0.1357
rot_unsup,269807,124,2.66e-04,0.1340
rot_unsup,269807,125,2.63e-04,0.1343
rot_unsup,269807,126,2.60e-04,0.1342
rot_unsup,269807,127,2.57e-04,0.1313
rot_unsup,269807,128,2.53e-04,0.1313
rot_unsup,269807,129,2.50e-04,0.1287
rot_unsup,269807,130,2.47e-04,0.1296
rot_unsup,269807,131,2.44e-04,0.1290
rot_unsup,269807,132,2.41e-04,0.1266
rot_unsup,269807,133,2.38e-04,0.1266
rot_unsup,269807,134,2.35e-04,0.1257
rot_unsup,269807,135,2.31e-04,0.1246
rot_unsup,269807,136,2.28e-04,0.1239
rot_unsup,269807,137,2.25e-04,0.1228
rot_unsup,269807,138,2.22e-04,0.1216
rot_unsup,269807,139,2.19e-04,0.1208
rot_unsup,269807,140,2.16e-04,0.1194
rot_unsup,269807,141,2.13e-04,0.1186
rot_unsup,269807,142,2.10e-04,0.1176
rot_unsup,269807,143,2.07e-04,0.1174
rot_unsup,269807,144,2.04e-04,0.1159
rot_unsup,269807,145,2.00e-04,0.1156
rot_unsup,269807,146,1.97e-04,0.1142
rot_unsup,269807,147,1.94e-04,0.1125
rot_unsup,269807,148,1.91e-04,0.1122
rot_unsup,269807,149,1.88e-04,0.1113
rot_unsup,269807,150,1.85e-04,0.1101
rot_unsup,269807,151,1.82e-04,0.1091
rot_unsup,269807,152,1.79e-04,0.1071
rot_unsup,269807,153,1.76e-04,0.1068
rot_unsup,269807,154,1.73e-04,0.1062
rot_unsup,269807,155,1.70e-04,0.1057
rot_unsup,269807,156,1.67e-04,0.1045
rot_unsup,269807,157,1.65e-04,0.1038
rot_unsup,269807,158,1.62e-04,0.1027
rot_unsup,269807,159,1.59e-04,0.1025
rot_unsup,269807,160,1.56e-04,0.1002
rot_unsup,269807,161,1.53e-04,0.0993
rot_unsup,269807,162,1.50e-04,0.0996
rot_unsup,269807,163,1.47e-04,0.0988
rot_unsup,269807,164,1.44e-04,0.0967
rot_unsup,269807,165,1.42e-04,0.0963
rot_unsup,269807,166,1.39e-04,0.0951
rot_unsup,269807,167,1.36e-04,0.0950
rot_unsup,269807,168,1.33e-04,0.0943
